Novel,20731001PM,Pam Vol.1,229,15,4
Novel,20731002PM,Pam Vol.2,229,15,2
Novel,20731003PM,Pam Vol.3,229,15,2
Novel,20731004PM,Pam Vol.4,229,15,1
Novel,20731005PM,Pam Vol.5,229,15,2
Novel,20731006PM,Pam Vol.6,229,15,2
Novel,20731007PM,Pam Vol.7,229,15,2
Novel,20731001GR,Garin Vol.1,215,15,3
Novel,20731002GR,Garin Vol.2,215,15,3
Novel,20731003GR,Garin Vol.3,215,15,2
Novel,20731004GR,Garin Vol.4,215,15,2
Novel,20731005GR,Garin Vol.5,215,15,3
Manga,34294001OP,One Piece Vol.1,35,7,8
Manga,34294002OP,One Piece Vol.2,35,7,5
Manga,34294003OP,One Piece Vol.3,35,7,5
Manga,34294004OP,One Piece Vol.4,35,7,3
Manga,34294005OP,One Piece Vol.5,35,7,3
Manga,34294006OP,One Piece Vol.6,35,7,3
Manga,34294007OP,One Piece Vol.7,35,7,3
Manga,34294008OP,One Piece Vol.8,35,7,3
Manga,34294009OP,One Piece Vol.9,35,7,2
Manga,34294010OP,One Piece Vol.10,35,7,4
Manga,34294011OP,One Piece Vol.11,40,7,3
Manga,34294012OP,One Piece Vol.12,40,7,3
Manga,34294013OP,One Piece Vol.13,40,7,3
Manga,34294014OP,One Piece Vol.14,40,7,2
Manga,34294015OP,One Piece Vol.15,45,7,6
Manga,34294001CN,Detective Conan Vol.1,35,13,9
Manga,34294002CN,Detective Conan Vol.2,35,13,7
Manga,34294003CN,Detective Conan Vol.3,35,13,7
Manga,34294004CN,Detective Conan Vol.4,35,13,4
Manga,34294005CN,Detective Conan Vol.5,35,13,4
Manga,34294006CN,Detective Conan Vol.6,35,13,3
Manga,34294007CN,Detective Conan Vol.7,35,13,3
Manga,34294008CN,Detective Conan Vol.8,35,13,2
Manga,34294009CN,Detective Conan Vol.9,35,13,2
Manga,34294010CN,Detective Conan Vol.10,35,13,2
Manga,34294011CN,Detective Conan Vol.11,35,13,3
Manga,34294012CN,Detective Conan Vol.12,35,13,6
Comic,40314001SU,SuperMan Vol.1,129,3
Comic,40314002SU,SuperMan Vol.2,129,2
Comic,40314003SU,SuperMan Vol.3,129,2
Comic,40314001SM,Spider Man Vol.1,129,3
Comic,40314002SM,Spider Man Vol.2,129,2
Comic,40314003SM,Spider Man Vol.3,129,2
Manga,34294001BS,Berserk Vol.1,155,18,6
Manga,34294002BS,Berserk Vol.2,155,18,4
Manga,34294003BS,Berserk Vol.3,155,18,3
Manga,34294004BS,Berserk Vol.4,155,18,2
Manga,34294005BS,Berserk Vol.5,155,18,2
Manga,34294006BS,Berserk Vol.6,155,18,2
Manga,34294007BS,Berserk Vol.7,155,18,3
Manga,34294008BS,Berserk Vol.8,155,18,2
Manga,34294009BS,Berserk Vol.9,155,18,4
Manga,34294010BS,Berserk Vol.10,155,18,5
LightNovel,712073001NG,No Game No life Vol.1,159,13,3
LightNovel,712073002NG,No Game No life Vol.2,159,13,2
LightNovel,712073003NG,No Game No life Vol.3,159,13,2
LightNovel,712073004NG,No Game No life Vol.4,159,13,1
LightNovel,712073005NG,No Game No life Vol.5,159,13,2
LightNovel,712073006NG,No Game No life Vol.6,159,13,1
LightNovel,712073007NG,No Game No life Vol.7,159,13,1
LightNovel,712073008NG,No Game No life Vol.8,159,13,2
LightNovel,712073009NG,No Game No life Vol.9,159,13,2
LightNovel,712073001CE,Classroom of the Elite Vol.1,149,13,4
LightNovel,712073002CE,Classroom of the Elite Vol.2,149,13,4
LightNovel,712073003CE,Classroom of the Elite Vol.3,149,13,4
LightNovel,712073004CE,Classroom of the Elite Vol.4,159,13,4
LightNovel,712073005CE,Classroom of the Elite Vol.5,159,13,4
LightNovel,712073006CE,Classroom of the Elite Vol.6,159,13,4
LightNovel,712073007CE,Classroom of the Elite Vol.7,159,13,4
LightNovel,712073008CE,Classroom of the Elite Vol.8,159,13,4
LightNovel,712073009CE,Classroom of the Elite Vol.9,159,13,4
LightNovel,712073010CE,Classroom of the Elite Vol.10,179,13,4
LightNovel,712073011CE,Classroom of the Elite Vol.11,179,13,4
Tale,74135001RJ,Romeo and Juliet,149,English,3
Tale,74135001LP,The Three Little Pigs,149,Thai,2